시도,사고건수,사망자수,중상자수,경상자수,부상신고자수,부상건수,사망자비율,중상자비율,경상자비율,부상자비율
강원,0.15979243771223628,0.25551684088269455,0.1571220272512444,0.18848091101540257,0.09973793741328812,0.17519605564187576,2.681777378815081,38.55475763016158,100.0,100.0
경기,1.0,1.0,1.0,1.0,0.9543702790195777,1.0,1.6618196925633568,38.14631567020433,100.0,100.0
경남,0.2506963256896486,0.44947735191637633,0.3654784051485746,0.19306153733849185,0.21674117465700635,0.24029509279763142,2.968487241354098,55.421510565182416,81.33362579513052,81.33362579513052
경북,0.2902819642107673,0.5667828106852497,0.3756850520388154,0.2568435652237389,0.22306150763064594,0.28727504067925175,3.218638902996445,49.409598781107164,92.8072625698324,92.8072625698324
광주,0.13979930558205197,0.09059233449477352,0.06541304238523807,0.18399153222862982,0.050254354863573304,0.14420641814600488,1.233468972533062,20.49847405900305,100.0,100.0
대구,0.26120798199091916,0.164924506387921,0.242294735783599,0.23768158259726985,0.26252505010020044,0.2408701077847242,1.131571549058195,36.05566488614001,95.36828788304751,95.36828788304751
대전,0.12142775382502195,0.09059233449477352,0.10463070038714867,0.1323636761807431,0.029597656852165873,0.11749880714976083,1.405593392261991,34.66164324011013,100.0,100.0
부산,0.2331451028272731,0.1846689895470383,0.27331690884408466,0.18351704503978392,0.23200246647140438,0.2098927046502808,1.3953123775182252,45.049776593242925,83.09947479815003,83.09947479815003
서울,0.7846350490289595,0.41463414634146345,0.7099904469807431,0.6781699394116358,1.0,0.7111344923351726,0.9024360974438977,34.63818552742109,90.49801992079684,90.49801992079684
세종,0.0,0.0,0.0,0.0,0.0,0.0,3.544776119402985,58.02238805970149,100.0,100.0
울산,0.09218207485978099,0.08710801393728224,0.0987480516868621,0.08195853711949777,0.09264683212579004,0.08724323133954023,1.751117734724292,42.38077496274217,93.81520119225037,93.81520119225037
인천,0.1562631157236064,0.13588850174216027,0.16220021117200464,0.15382509672238848,0.0897178973331278,0.15114330107540036,1.5583820327718574,40.52939154348573,100.0,100.0
전남,0.18856118127360832,0.454123112659698,0.18105485444215397,0.21766187312942548,0.09326344997687684,0.20216058822809743,3.934740882917467,37.54318618042227,100.0,100.0
전북,0.15904841848220078,0.3356562137049942,0.1548594700588265,0.1801043871815461,0.039001079081239405,0.16505377001847388,3.471204778541643,38.2170630001127,100.0,100.0
제주,0.0783891029798924,0.0859465737514518,0.07531801498315652,0.07237754580626322,0.12193618005241254,0.07743127347468098,2.0021528525296017,38.945102260495155,97.11517761033369,97.11517761033369
충남,0.16950284253500708,0.421602787456446,0.22359092965961086,0.1600664282064384,0.06320332973639588,0.17117095073222652,4.054771255705339,50.504192760853414,98.88546863390299,98.88546863390299
충북,0.16786218474569806,0.25435540069686413,0.1963899643018754,0.17473903204613475,0.08617234468937876,0.17444975959479794,2.5495447241564007,45.17407605784681,100.0,100.0
