월,시도,사고건수,사망자수,중상자수,경상자수,부상신고자수,교통사고발생건수,사고자발생비율,사망자발생비율,중상자발생비율,경상자발생비율,부상자발생비율
1.0,강원,0.11580810066850176,0.22826086956521738,0.1127049180327869,0.14436815735758027,0.0900763358778626,0.12822493434265408,35.48941041785918,1.2020606754436176,13.623354321694334,46.307956496851745,3.3772180881511162
1.0,경기,0.7286669288242233,0.7934782608695652,0.757172131147541,0.7199851549452588,0.6229007633587786,0.7367526649158042,38.82597402597403,0.7584415584415585,15.542857142857141,40.63376623376623,4.238961038961039
1.0,경남,0.20408965788438851,0.25,0.295594262295082,0.15012061606977176,0.19236641221374046,0.19820794067665687,40.29400678477196,0.8669430833019224,22.427440633245382,31.6622691292876,4.749340369393139
1.0,경북,0.21431380259535981,0.43478260869565216,0.2873975409836066,0.18890332158099835,0.17862595419847327,0.21775065657345896,38.57536132140399,1.3764624913971095,19.92429456297316,36.09772883688919,4.026152787336545
1.0,광주,0.11718442784113252,0.11956521739130435,0.04969262295081968,0.1423269623306736,0.02900763358778626,0.11455275760852773,39.93630573248408,0.7006369426751593,7.32484076433121,50.82802547770701,1.210191082802548
1.0,대구,0.21136453008257963,0.18478260869565216,0.1787909836065574,0.19242902208201892,0.20763358778625954,0.20137494206704773,41.054194506310324,0.6310319227913883,13.622865627319971,39.643652561247215,5.0482553823311065
1.0,대전,0.08611875737318128,0.13043478260869565,0.0896516393442623,0.08665800705140099,0.024427480916030534,0.08504557392244709,39.47811447811448,1.0101010101010102,16.245791245791246,41.91919191919192,1.3468013468013467
1.0,부산,0.1932756586708612,0.08695652173913043,0.2489754098360656,0.15234737428094267,0.22900763358778625,0.1885524486327823,40.110759493670884,0.31645569620253167,19.936708860759495,33.70253164556962,5.9335443037974684
1.0,서울,0.5772709398348408,0.41304347826086957,0.5630122950819673,0.5221748005195769,0.6351145038167939,0.5635717596168701,40.18691588785047,0.5146959230665041,15.129351212244346,38.5344710822159,5.6345658946227815
1.0,세종,0.00039323633503735717,0.03260869565217391,0.005122950819672132,0.0,0.0,0.0006179514908079718,34.73684210526316,3.1578947368421053,29.47368421052631,32.631578947368425,0.0
1.0,울산,0.08002359418010224,0.11956521739130435,0.08299180327868853,0.06754499907218407,0.0717557251908397,0.0760080333693805,40.896358543417364,1.0270774976657329,16.80672268907563,36.881419234360415,4.3884220354808585
1.0,인천,0.11797090051120723,0.13043478260869565,0.11731557377049182,0.12414177027277788,0.0732824427480916,0.11980534528039548,38.52258852258853,0.7326007326007326,15.079365079365079,42.73504273504273,2.93040293040293
1.0,전남,0.1458906802988596,0.43478260869565216,0.1326844262295082,0.16756355539061052,0.08854961832061069,0.1541016530202379,37.12776176753122,1.921229586935639,13.304514889529298,44.860710854947165,2.785782901056676
1.0,전북,0.12131340935902477,0.16304347826086957,0.10194672131147542,0.13861569864538875,0.044274809160305344,0.12359029816159432,38.41138114997037,0.8891523414344991,12.863070539419086,46.11736810906935,1.7190278601066984
1.0,제주,0.0701926858041683,0.08695652173913043,0.06301229508196722,0.0610502876229356,0.10076335877862595,0.0676656882434729,40.2907580477674,0.8307372793354102,14.641744548286603,37.38317757009346,6.853582554517133
1.0,충남,0.1173810460086512,0.31521739130434784,0.17008196721311478,0.11319354240118759,0.0549618320610687,0.12335856635254132,37.29216152019003,1.72209026128266,20.783847980997624,38.064133016627075,2.137767220902613
1.0,충북,0.11836413684624458,0.21739130434782608,0.16290983606557377,0.11245128966413064,0.04580152671755725,0.12119573613471342,38.224637681159415,1.2077294685990339,20.28985507246377,38.466183574879224,1.8115942028985508
2.0,강원,0.09830908375933936,0.15217391304347827,0.1050204918032787,0.10762664687326035,0.0717557251908397,0.10342963077398425,37.23702664796634,0.9817671809256662,15.638148667601683,42.84712482468443,3.2959326788218792
2.0,경기,0.6421549351160047,0.44565217391304346,0.6542008196721312,0.640378548895899,0.500763358778626,0.6454503321489263,39.05010067511548,0.48560938055193653,15.33814994670141,41.24126495321568,3.8848750444154923
2.0,경남,0.17990562327959103,0.2391304347826087,0.26844262295081966,0.13267767674893302,0.1297709923664122,0.17410783253514597,40.41008116189663,0.9397693293464331,23.152498932080306,31.866723622383596,3.630926954293037
2.0,경북,0.18953991348800628,0.3913043478260869,0.23514344262295084,0.16422341807385415,0.14961832061068703,0.18808898501467633,39.452815226011104,1.4274385408406027,18.913560666137986,36.320380650277556,3.8858049167327517
2.0,광주,0.09614628391663389,0.06521739130434782,0.04610655737704919,0.13360549267025423,0.05343511450381679,0.10296616715587827,36.61971830985916,0.42253521126760557,7.605633802816901,52.88732394366197,2.464788732394366
2.0,대구,0.18777034998033817,0.11956521739130435,0.15778688524590165,0.18240861013174986,0.17099236641221374,0.1824501776610536,40.26133115557371,0.449162923642303,13.311555737035524,41.40465496120866,4.573295222539812
2.0,대전,0.06390090444357058,0.09782608695652173,0.05993852459016394,0.06123585080719984,0.013740458015267175,0.060482002162830215,40.91954022988506,1.0344827586206897,15.517241379310345,41.49425287356322,1.0344827586206897
2.0,부산,0.1616201337003539,0.13043478260869565,0.21311475409836067,0.11486361105956577,0.1633587786259542,0.152093310675112,41.48832684824903,0.5836575875486382,21.108949416342412,31.614785992217897,5.2042801556420235
2.0,서울,0.5212347620920174,0.2826086956521739,0.5015368852459017,0.4611245128966413,0.566412213740458,0.5024718059632319,40.685679611650485,0.39441747572815533,15.124393203883496,38.167475728155345,5.628033980582525
2.0,세종,0.0,0.0,0.0,0.0012989422898496937,0.0,0.0,35.63218390804598,0.0,20.689655172413794,43.67816091954023,0.0
